[2019-12-07T08:01:34+0200] [PACMAN] Running 'pacman -r rootfs -Sy --cachedir=rootfs/var/cache/pacman/pkg --noconfirm filesystem pacman base-devel'
[2019-12-07T08:01:34+0200] [PACMAN] synchronizing package lists
[2019-12-07T08:02:39+0200] [ALPM] transaction started
[2019-12-07T08:02:39+0200] [ALPM] installed iana-etc (20191030-1)
[2019-12-07T08:02:39+0200] [ALPM] installed filesystem (2019.10-3)
[2019-12-07T08:02:39+0200] [ALPM] installed bashrc-manjaro (5.0.011-1)
[2019-12-07T08:02:39+0200] [ALPM] installed linux-api-headers (5.3.1-1)
[2019-12-07T08:02:39+0200] [ALPM] installed tzdata (2019c-2)
[2019-12-07T08:02:39+0200] [ALPM] installed glibc (2.30-2)
[2019-12-07T08:02:41+0200] [ALPM] installed gcc-libs (9.2.0-4)
[2019-12-07T08:02:41+0200] [ALPM] installed ncurses (6.1-6)
[2019-12-07T08:02:41+0200] [ALPM] installed readline (8.0.001-1)
[2019-12-07T08:02:41+0200] [ALPM] installed bash (5.0.011-1)
[2019-12-07T08:02:41+0200] [ALPM] installed attr (2.4.48-2)
[2019-12-07T08:02:41+0200] [ALPM] installed acl (2.2.53-2)
[2019-12-07T08:02:41+0200] [ALPM] installed bzip2 (1.0.8-3)
[2019-12-07T08:02:41+0200] [ALPM] installed expat (2.2.9-1)
[2019-12-07T08:02:41+0200] [ALPM] installed lz4 (1:1.9.2-1)
[2019-12-07T08:02:41+0200] [ALPM] installed gdbm (1.18.1-2)
[2019-12-07T08:02:41+0200] [ALPM] installed db (5.3.28-4)
[2019-12-07T08:02:42+0200] [ALPM] installed perl (5.30.0-3)
[2019-12-07T08:02:43+0200] [ALPM] installed openssl (1.1.1.d-1)
[2019-12-07T08:02:43+0200] [ALPM] installed xz (5.2.4-1)
[2019-12-07T08:02:43+0200] [ALPM] installed zlib (1:1.2.11-3)
[2019-12-07T08:02:43+0200] [ALPM] installed zstd (1.4.3-1)
[2019-12-07T08:02:43+0200] [ALPM] installed libarchive (3.4.0-2)
[2019-12-07T08:02:43+0200] [ALPM] installed gmp (6.1.2-2)
[2019-12-07T08:02:43+0200] [ALPM] installed libcap (2.27-1)
[2019-12-07T08:02:43+0200] [ALPM] installed coreutils (8.31-3)
[2019-12-07T08:02:43+0200] [ALPM] installed findutils (4.7.0-2)
[2019-12-07T08:02:43+0200] [ALPM] installed libtasn1 (4.14-2)
[2019-12-07T08:02:43+0200] [ALPM] installed libffi (3.2.1-3)
[2019-12-07T08:02:43+0200] [ALPM] installed libgpg-error (1.36-2)
[2019-12-07T08:02:43+0200] [ALPM] installed libgcrypt (1.8.5-1)
[2019-12-07T08:02:43+0200] [ALPM] installed systemd-libs (242.153-1)
[2019-12-07T08:02:43+0200] [ALPM] installed device-mapper (2.02.186-2)
[2019-12-07T08:02:43+0200] [ALPM] installed popt (1.16-10)
